Index,Incoming Calls,Answered Calls,Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level (20 Seconds),Answer_Speed_Segundos,Talk_Duration_Segundos,Waiting_Time_Segundos,Answer_Rate_Decimal,Service_Level_Decimal
63,202,199,98.51%,3,0:00:08,0:02:05,0:01:17,91.00%,8,125,77,0.9851000000000001,0.91
64,217,212,97.70%,5,0:00:07,0:01:55,0:01:50,94.42%,7,115,110,0.977,0.9442
65,225,223,99.11%,2,0:00:09,0:02:09,0:01:06,91.93%,9,129,66,0.9911,0.9193000000000001
66,235,231,98.30%,4,0:00:08,0:02:19,0:01:06,95.71%,8,139,66,0.983,0.9571
67,202,201,99.50%,1,0:00:08,0:02:21,0:01:53,94.55%,8,141,113,0.995,0.9455
68,43,39,90.70%,4,0:00:11,0:02:15,0:01:50,76.19%,11,135,110,0.907,0.7619
69,194,187,96.39%,7,0:00:10,0:02:27,0:02:30,87.43%,10,147,150,0.9639,0.8743000000000001
70,202,199,98.51%,3,0:00:13,0:02:23,0:01:58,86.07%,13,143,118,0.9851000000000001,0.8606999999999999
71,146,140,95.89%,6,0:00:12,0:02:13,0:04:35,83.45%,12,133,275,0.9589,0.8345
72,147,145,98.64%,2,0:00:09,0:02:15,0:00:58,91.16%,9,135,58,0.9864,0.9116
73,155,145,93.55%,10,0:00:12,0:02:33,0:04:33,82.24%,12,153,273,0.9355,0.8223999999999999
74,157,156,99.36%,1,0:00:09,0:02:24,0:00:53,92.95%,9,144,53,0.9936,0.9295
75,38,36,94.74%,2,0:00:13,0:02:11,0:00:59,83.78%,13,131,59,0.9473999999999999,0.8378
76,166,162,97.59%,4,0:00:09,0:02:29,0:02:45,89.09%,9,149,165,0.9759,0.8909
77,226,216,95.58%,10,0:00:13,0:02:15,0:01:46,81.45%,13,135,106,0.9558,0.8145
78,253,247,97.63%,6,0:00:10,0:01:54,0:01:17,88.49%,10,114,77,0.9763,0.8848999999999999
79,134,134,100.00%,0,0:00:03,0:02:13,0:00:26,100.00%,3,133,26,1.0,1.0
80,70,67,95.71%,3,0:00:12,0:02:01,0:01:16,83.82%,12,121,76,0.9571,0.8382
81,83,82,98.80%,1,0:00:07,0:02:03,0:01:16,95.18%,7,123,76,0.988,0.9518000000000001
82,42,40,95.24%,2,0:00:08,0:01:51,0:01:36,90.24%,8,111,96,0.9523999999999999,0.9024
83,66,64,96.97%,2,0:00:05,0:02:00,0:01:39,95.45%,5,120,99,0.9697,0.9545
84,153,146,95.42%,7,0:00:20,0:02:08,0:04:32,76.00%,20,128,272,0.9542,0.76
85,141,135,95.74%,6,0:00:23,0:02:06,0:02:15,66.91%,23,126,135,0.9573999999999999,0.6690999999999999
86,146,143,97.95%,3,0:00:17,0:01:57,0:02:27,78.32%,17,117,147,0.9795,0.7831999999999999
87,144,140,97.22%,4,0:00:12,0:01:53,0:02:05,84.03%,12,113,125,0.9722,0.8403
88,105,103,98.10%,2,0:00:17,0:01:55,0:02:01,76.19%,17,115,121,0.981,0.7619
89,36,35,97.22%,1,0:00:16,0:01:54,0:01:31,77.14%,16,114,91,0.9722,0.7714
90,61,57,93.44%,4,0:00:04,0:02:00,0:03:41,91.67%,4,120,221,0.9344,0.9167000000000001
91,60,58,96.67%,2,0:00:11,0:02:08,0:01:34,85.00%,11,128,94,0.9667,0.85
92,18,17,94.44%,1,0:00:05,0:02:39,0:00:20,100.00%,5,159,20,0.9444,1.0
93,206,202,98.06%,4,0:00:09,0:01:54,0:01:10,89.27%,9,114,70,0.9806,0.8926999999999999
94,194,193,99.48%,1,0:00:11,0:01:57,0:01:34,84.97%,11,117,94,0.9948,0.8497
95,206,200,97.09%,6,0:00:10,0:02:08,0:02:00,86.27%,10,128,120,0.9709,0.8626999999999999
96,53,53,100.00%,0,0:00:18,0:02:08,0:02:10,77.36%,18,128,130,1.0,0.7736
97,147,145,98.64%,2,0:00:09,0:01:50,0:01:24,88.36%,9,110,84,0.9864,0.8835999999999999
98,201,197,98.01%,4,0:00:09,0:01:59,0:02:23,90.95%,9,119,143,0.9801000000000001,0.9095
99,202,198,98.02%,4,0:00:10,0:02:09,0:01:11,88.50%,10,129,71,0.9802,0.885
100,226,219,96.90%,7,0:00:10,0:02:12,0:02:45,88.00%,10,132,165,0.9690000000000001,0.88
101,167,163,97.60%,4,0:00:07,0:02:09,0:01:50,92.77%,7,129,110,0.976,0.9277
102,164,164,100.00%,0,0:00:11,0:02:17,0:01:45,89.02%,11,137,105,1.0,0.8902
103,42,41,97.62%,1,0:00:11,0:02:09,0:01:18,87.80%,11,129,78,0.9762000000000001,0.878
104,79,78,98.73%,1,0:00:07,0:02:23,0:00:48,94.87%,7,143,48,0.9873000000000001,0.9487000000000001
105,165,162,98.18%,3,0:00:09,0:02:09,0:01:50,89.70%,9,129,110,0.9818000000000001,0.897
106,180,174,96.67%,6,0:00:16,0:02:16,0:01:43,77.78%,16,136,103,0.9667,0.7778
107,179,176,98.32%,3,0:00:10,0:02:26,0:01:50,87.64%,10,146,110,0.9832,0.8764
108,217,215,99.08%,2,0:00:08,0:02:08,0:02:07,91.71%,8,128,127,0.9908,0.9170999999999999
109,171,167,97.66%,4,0:00:10,0:02:15,0:01:50,86.47%,10,135,110,0.9765999999999999,0.8647
110,37,37,100.00%,0,0:00:09,0:01:57,0:01:22,86.49%,9,117,82,1.0,0.8649
111,215,206,95.81%,9,0:00:18,0:02:09,0:02:45,80.95%,18,129,165,0.9581000000000001,0.8095
112,218,212,97.25%,6,0:00:16,0:02:17,0:02:09,84.26%,16,137,129,0.9725,0.8426
113,205,202,98.54%,3,0:00:11,0:02:25,0:01:37,90.69%,11,145,97,0.9854,0.9068999999999999
114,195,190,97.44%,5,0:00:12,0:02:22,0:01:14,89.01%,12,142,74,0.9743999999999999,0.8901
115,181,176,97.24%,5,0:00:13,0:02:13,0:01:16,82.22%,13,133,76,0.9723999999999999,0.8222
116,212,206,97.17%,6,0:00:11,0:02:20,0:01:49,89.42%,11,140,109,0.9717,0.8942
117,33,32,96.97%,1,0:00:08,0:02:28,0:00:55,90.91%,8,148,55,0.9697,0.9091
118,298,287,96.31%,11,0:00:13,0:01:35,0:02:51,83.33%,13,95,171,0.9631000000000001,0.8332999999999999
119,158,156,98.73%,2,0:00:11,0:02:23,0:01:32,89.81%,11,143,92,0.9873000000000001,0.8981
120,156,154,98.72%,2,0:00:12,0:02:13,0:01:01,85.81%,12,133,61,0.9872,0.8581
121,163,163,100.00%,0,0:00:10,0:02:02,0:02:46,92.64%,10,122,166,1.0,0.9264
122,98,98,100.00%,0,0:00:07,0:02:10,0:01:10,93.88%,7,130,70,1.0,0.9388
123,255,249,97.65%,6,0:00:15,0:02:19,0:05:31,82.68%,15,139,331,0.9765,0.8268000000000001
124,50,49,98.00%,1,0:00:08,0:02:02,0:00:57,92.00%,8,122,57,0.98,0.92
125,290,289,99.66%,1,0:00:12,0:02:01,0:01:10,89.27%,12,121,70,0.9965999999999999,0.8926999999999999
126,296,281,94.93%,15,0:00:22,0:02:08,0:04:30,73.54%,22,128,270,0.9493,0.7354
127,260,257,98.85%,3,0:00:17,0:02:13,0:01:20,87.16%,17,133,80,0.9884999999999999,0.8715999999999999
128,201,193,96.02%,8,0:00:19,0:02:23,0:02:02,76.77%,19,143,122,0.9601999999999999,0.7676999999999999
129,132,131,99.24%,1,0:00:17,0:02:13,0:01:30,76.52%,17,133,90,0.9924,0.7652
130,167,165,98.80%,2,0:00:09,0:02:06,0:00:57,92.12%,9,126,57,0.988,0.9212
131,85,79,92.94%,6,0:00:18,0:02:25,0:01:53,77.38%,18,145,113,0.9294,0.7737999999999999
132,244,236,96.72%,8,0:00:21,0:02:29,0:01:56,75.62%,21,149,116,0.9672,0.7562000000000001
133,186,182,97.85%,4,0:00:14,0:02:13,0:01:38,79.03%,14,133,98,0.9784999999999999,0.7903
134,278,264,94.96%,14,0:00:19,0:02:20,0:02:10,76.84%,19,140,130,0.9495999999999999,0.7684000000000001
135,272,268,98.53%,4,0:00:15,0:02:30,0:01:45,80.00%,15,150,105,0.9853000000000001,0.8
136,218,206,94.50%,12,0:00:25,0:02:21,0:03:41,67.28%,25,141,221,0.945,0.6728000000000001
137,152,148,97.37%,4,0:00:14,0:02:18,0:01:25,83.33%,14,138,85,0.9737,0.8332999999999999
138,48,43,89.58%,5,0:00:22,0:02:01,0:01:21,69.57%,22,121,81,0.8957999999999999,0.6957
139,186,181,97.31%,5,0:00:14,0:02:20,0:01:49,84.95%,14,140,109,0.9731000000000001,0.8495
140,182,180,98.90%,2,0:00:08,0:02:10,0:00:58,93.37%,8,130,58,0.9890000000000001,0.9337000000000001
141,192,188,97.92%,4,0:00:20,0:01:58,0:01:56,76.19%,20,118,116,0.9792000000000001,0.7619
142,155,148,95.48%,7,0:00:14,0:02:24,0:02:18,85.33%,14,144,138,0.9548000000000001,0.8533
143,144,142,98.61%,2,0:00:11,0:02:19,0:01:05,90.21%,11,139,65,0.9861,0.9020999999999999
144,164,162,98.78%,2,0:00:12,0:02:35,0:01:50,85.37%,12,155,110,0.9878,0.8537
145,27,26,96.30%,1,0:00:11,0:02:04,0:01:17,81.48%,11,124,77,0.963,0.8148000000000001
146,177,175,98.87%,2,0:00:11,0:02:19,0:01:35,90.86%,11,139,95,0.9887,0.9086
147,134,131,97.76%,3,0:00:14,0:02:23,0:01:39,81.34%,14,143,99,0.9776,0.8134
148,125,120,96.00%,5,0:00:14,0:02:20,0:02:52,84.55%,14,140,172,0.96,0.8454999999999999
149,167,163,97.60%,4,0:00:16,0:02:24,0:01:12,81.21%,16,144,72,0.976,0.8120999999999999
150,169,167,98.82%,2,0:00:09,0:02:14,0:01:44,89.94%,9,134,104,0.9882,0.8994
151,162,160,98.77%,2,0:00:16,0:02:15,0:01:31,83.13%,16,135,91,0.9876999999999999,0.8312999999999999
152,25,25,100.00%,0,0:00:16,0:02:35,0:00:58,76.00%,16,155,58,1.0,0.76
153,157,146,92.99%,11,0:00:17,0:02:17,0:01:51,79.74%,17,137,111,0.9299,0.7974
154,166,154,92.77%,12,0:00:25,0:02:18,0:03:39,66.26%,25,138,219,0.9277,0.6626000000000001
155,58,55,94.83%,3,0:00:16,0:02:11,0:02:45,74.14%,16,131,165,0.9483,0.7414000000000001
156,75,74,98.67%,1,0:00:15,0:02:13,0:03:18,84.00%,15,133,198,0.9867,0.84
157,28,28,100.00%,0,0:00:07,0:02:28,0:00:51,96.43%,7,148,51,1.0,0.9643
158,108,107,99.07%,1,0:00:09,0:02:11,0:00:59,94.44%,9,131,59,0.9906999999999999,0.9444
159,21,21,100.00%,0,0:00:07,0:02:58,0:00:58,95.24%,7,178,58,1.0,0.9523999999999999
160,189,182,96.30%,7,0:00:21,0:02:10,0:04:46,76.34%,21,130,286,0.963,0.7634000000000001
161,161,155,96.27%,6,0:00:19,0:02:27,0:01:50,71.88%,19,147,110,0.9627,0.7188
162,155,151,97.42%,4,0:00:17,0:02:20,0:01:49,80.52%,17,140,109,0.9742000000000001,0.8051999999999999
163,161,150,93.17%,11,0:00:17,0:02:22,0:02:45,75.32%,17,142,165,0.9317,0.7532
164,132,129,97.73%,3,0:00:27,0:02:22,0:02:34,65.15%,27,142,154,0.9773000000000001,0.6515000000000001
165,122,119,97.54%,3,0:00:16,0:02:24,0:01:50,80.00%,16,144,110,0.9754,0.8
166,17,17,100.00%,0,0:00:21,0:02:40,0:00:58,76.47%,21,160,58,1.0,0.7646999999999999
167,45,45,100.00%,0,0:00:06,0:02:06,0:00:57,95.56%,6,126,57,1.0,0.9556
168,177,172,97.18%,5,0:00:20,0:02:23,0:02:51,76.00%,20,143,171,0.9718000000000001,0.76
169,133,132,99.25%,1,0:00:10,0:02:25,0:00:59,93.23%,10,145,59,0.9925,0.9323
170,177,167,94.35%,10,0:00:15,0:02:22,0:04:35,83.24%,15,142,275,0.9434999999999999,0.8323999999999999
171,127,124,97.64%,3,0:00:16,0:02:22,0:01:45,81.89%,16,142,105,0.9764,0.8189
172,148,147,99.32%,1,0:00:16,0:02:11,0:03:11,83.11%,16,131,191,0.9932,0.8311
173,23,23,100.00%,0,0:00:32,0:02:02,0:02:43,65.22%,32,122,163,1.0,0.6522
174,141,134,95.04%,7,0:00:24,0:02:38,0:02:29,72.14%,24,158,149,0.9504,0.7214
175,124,120,96.77%,4,0:00:20,0:02:33,0:02:58,82.26%,20,153,178,0.9677,0.8226
176,165,156,94.55%,9,0:00:25,0:02:21,0:02:38,70.55%,25,141,158,0.9455,0.7055
177,168,166,98.81%,2,0:00:21,0:02:33,0:03:43,80.12%,21,153,223,0.9881,0.8012
178,198,188,94.95%,10,0:00:22,0:02:32,0:02:45,70.92%,22,152,165,0.9495,0.7092
179,139,133,95.68%,6,0:00:17,0:02:40,0:03:03,80.15%,17,160,183,0.9568000000000001,0.8015000000000001
180,46,45,97.83%,1,0:00:10,0:02:14,0:01:16,88.89%,10,134,76,0.9783,0.8889
181,184,174,94.57%,10,0:00:23,0:02:37,0:04:35,76.54%,23,157,275,0.9457,0.7654000000000001
182,207,190,91.79%,17,0:00:21,0:02:23,0:04:06,71.36%,21,143,246,0.9179,0.7136
183,191,180,94.24%,11,0:00:21,0:02:32,0:01:53,76.50%,21,152,113,0.9423999999999999,0.765
184,213,204,95.77%,9,0:00:24,0:02:26,0:02:46,69.67%,24,146,166,0.9577,0.6967
185,483,451,93.37%,32,0:00:16,0:00:57,0:08:45,79.20%,16,57,525,0.9337000000000001,0.792
186,547,526,96.16%,21,0:00:19,0:01:21,0:03:54,81.58%,19,81,234,0.9616,0.8158
187,54,53,98.15%,1,0:00:25,0:02:36,0:01:18,70.37%,25,156,78,0.9815,0.7037
188,275,261,94.91%,14,0:00:22,0:02:13,0:02:12,74.44%,22,133,132,0.9490999999999999,0.7444
189,205,195,95.12%,10,0:00:24,0:02:34,0:03:00,70.79%,24,154,180,0.9512,0.7079000000000001
190,80,77,96.25%,3,0:00:10,0:02:11,0:01:33,89.61%,10,131,93,0.9625,0.8961
191,200,195,97.50%,5,0:00:21,0:02:30,0:02:48,75.25%,21,150,168,0.975,0.7525
192,154,150,97.40%,4,0:00:21,0:02:29,0:02:45,74.34%,21,149,165,0.9740000000000001,0.7434000000000001
193,163,155,95.09%,8,0:00:23,0:02:18,0:02:26,74.52%,23,138,146,0.9509000000000001,0.7452
194,12,12,100.00%,0,0:00:25,0:03:37,0:01:28,66.67%,25,217,88,1.0,0.6667000000000001
195,218,212,97.25%,6,0:00:20,0:01:56,0:04:11,75.93%,20,116,251,0.9725,0.7593000000000001
196,172,163,94.77%,9,0:00:18,0:02:09,0:01:53,81.93%,18,129,113,0.9477,0.8193
197,205,194,94.63%,11,0:00:18,0:02:24,0:01:41,80.60%,18,144,101,0.9462999999999999,0.8059999999999999
198,178,168,94.38%,10,0:00:23,0:02:28,0:02:50,68.97%,23,148,170,0.9438,0.6897
199,214,201,93.93%,13,0:00:23,0:02:11,0:02:24,66.03%,23,131,144,0.9393,0.6603
200,169,161,95.27%,8,0:00:23,0:02:17,0:04:35,71.69%,23,137,275,0.9527,0.7169
201,46,46,100.00%,0,0:00:25,0:02:24,0:01:35,71.74%,25,144,95,1.0,0.7173999999999999
202,183,177,96.72%,6,0:00:18,0:02:30,0:01:07,81.11%,18,150,67,0.9672,0.8111
203,208,190,91.35%,18,0:00:21,0:02:25,0:01:50,74.11%,21,145,110,0.9135,0.7411
204,234,224,95.73%,10,0:00:22,0:02:15,0:03:20,74.14%,22,135,200,0.9573,0.7414000000000001
205,204,194,95.10%,10,0:00:18,0:02:17,0:01:50,78.71%,18,137,110,0.951,0.7870999999999999
206,204,189,92.65%,15,0:00:21,0:02:15,0:03:56,70.79%,21,135,236,0.9265000000000001,0.7079000000000001
207,99,99,100.00%,0,0:00:16,0:02:25,0:01:02,82.83%,16,145,62,1.0,0.8283
208,29,27,93.10%,2,0:00:19,0:02:47,0:02:22,78.57%,19,167,142,0.9309999999999999,0.7857
209,167,159,95.21%,8,0:00:23,0:02:28,0:04:35,70.48%,23,148,275,0.9521,0.7048000000000001
210,164,161,98.17%,3,0:00:17,0:02:35,0:01:37,81.71%,17,155,97,0.9817,0.8170999999999999
211,158,147,93.04%,11,0:00:21,0:02:34,0:02:03,72.44%,21,154,123,0.9304000000000001,0.7243999999999999
212,165,161,97.58%,4,0:00:17,0:02:26,0:01:06,77.91%,17,146,66,0.9758,0.7791
213,129,124,96.12%,5,0:00:23,0:02:28,0:01:50,70.87%,23,148,110,0.9612,0.7087
214,155,149,96.13%,6,0:00:23,0:02:26,0:04:19,74.51%,23,146,259,0.9612999999999999,0.7451000000000001
215,24,22,91.67%,2,0:00:28,0:02:24,0:01:21,54.17%,28,144,81,0.9167000000000001,0.5417000000000001
216,209,200,95.69%,9,0:00:23,0:02:24,0:02:11,66.67%,23,144,131,0.9569,0.6667000000000001
217,239,226,94.56%,13,0:00:26,0:02:19,0:02:50,67.23%,26,139,170,0.9456,0.6723
218,229,210,91.70%,19,0:00:29,0:02:23,0:08:16,64.16%,29,143,496,0.917,0.6416
219,194,172,88.66%,22,0:00:23,0:02:20,0:06:16,66.14%,23,140,376,0.8865999999999999,0.6614
220,202,179,88.61%,23,0:00:24,0:02:16,0:02:50,64.43%,24,136,170,0.8861,0.6443000000000001
221,268,254,94.78%,14,0:00:15,0:01:51,0:02:40,81.13%,15,111,160,0.9478,0.8112999999999999
222,52,49,94.23%,3,0:00:18,0:02:18,0:02:17,76.47%,18,138,137,0.9423,0.7646999999999999
223,414,397,95.89%,17,0:00:23,0:01:58,0:05:32,70.73%,23,118,332,0.9589,0.7073
224,346,325,93.93%,21,0:00:27,0:02:22,0:02:45,65.69%,27,142,165,0.9393,0.6568999999999999
225,187,179,95.72%,8,0:00:25,0:02:14,0:02:59,67.03%,25,134,179,0.9571999999999999,0.6703
226,203,186,91.63%,17,0:00:24,0:02:38,0:04:35,69.59%,24,158,275,0.9163,0.6959000000000001
227,204,194,95.10%,10,0:00:18,0:02:33,0:02:02,82.41%,18,153,122,0.951,0.8240999999999999
228,126,121,96.03%,5,0:00:21,0:02:32,0:01:51,70.63%,21,152,111,0.9603,0.7062999999999999
229,36,36,100.00%,0,0:00:17,0:02:07,0:01:31,77.78%,17,127,91,1.0,0.7778
230,180,165,91.67%,15,0:00:27,0:02:30,0:02:19,66.09%,27,150,139,0.9167000000000001,0.6609
231,169,162,95.86%,7,0:00:20,0:02:25,0:01:53,74.56%,20,145,113,0.9586,0.7456
232,155,151,97.42%,4,0:00:21,0:02:20,0:02:45,70.97%,21,140,165,0.9742000000000001,0.7097
233,169,137,81.07%,32,0:00:38,0:02:24,0:05:30,40.36%,38,144,330,0.8107,0.4036
234,61,45,73.77%,16,0:00:32,0:02:49,0:05:30,40.98%,32,169,330,0.7376999999999999,0.40979999999999994
235,167,136,81.44%,31,0:00:42,0:02:36,0:05:28,35.98%,42,156,328,0.8144,0.35979999999999995
236,32,27,84.38%,5,0:00:35,0:02:22,0:03:10,53.13%,35,142,190,0.8438,0.5313
237,229,148,64.63%,81,0:00:36,0:02:48,0:10:39,43.18%,36,168,639,0.6463,0.4318
238,208,204,98.08%,4,0:00:19,0:03:06,0:05:14,77.67%,19,186,314,0.9808,0.7767000000000001
239,175,168,96.00%,7,0:00:25,0:02:51,0:03:44,65.12%,25,171,224,0.96,0.6512
240,177,167,94.35%,10,0:00:22,0:02:41,0:04:24,68.39%,22,161,264,0.9434999999999999,0.6839
241,822,767,93.31%,55,0:00:24,0:01:25,0:04:35,64.40%,24,85,275,0.9331,0.644
242,87,85,97.70%,2,0:00:23,0:02:25,0:02:17,67.82%,23,145,137,0.977,0.6781999999999999
243,41,39,95.12%,2,0:00:15,0:02:42,0:01:18,82.50%,15,162,78,0.9512,0.825
244,280,257,91.79%,23,0:00:31,0:02:33,0:07:55,63.87%,31,153,475,0.9179,0.6386999999999999
245,199,192,96.48%,7,0:00:22,0:02:46,0:02:48,73.87%,22,166,168,0.9648,0.7387
246,252,239,94.84%,13,0:00:29,0:02:29,0:03:36,64.92%,29,149,216,0.9484,0.6492
247,220,208,94.55%,12,0:00:20,0:02:36,0:02:45,75.59%,20,156,165,0.9455,0.7559
248,206,193,93.69%,13,0:00:24,0:02:27,0:03:37,75.49%,24,147,217,0.9369,0.7548999999999999
249,217,206,94.93%,11,0:00:22,0:02:26,0:02:02,71.03%,22,146,122,0.9493,0.7103
250,24,24,100.00%,0,0:00:19,0:02:50,0:01:07,79.17%,19,170,67,1.0,0.7917000000000001
251,248,238,95.97%,10,0:00:13,0:02:27,0:01:50,85.25%,13,147,110,0.9597,0.8525
252,222,212,95.50%,10,0:00:20,0:02:25,0:03:41,77.73%,20,145,221,0.955,0.7773
